Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Zipcode,Poverty Rate,Unemployment Rate
ZCTA5 00791,18595.0,49551.0,41.3,11926.0,22625.0,1840.0,00791,45.660027042844746,3.7133458456943353
ZCTA5 00794,15667.0,29296.0,35.4,7702.0,17589.0,797.0,00794,60.03891316220644,2.7205079191698527
ZCTA5 00795,20430.0,45573.0,37.8,10164.0,21540.0,4041.0,00795,47.26482785860049,8.867092357316832
ZCTA5 00901,16929.0,6540.0,41.3,27466.0,2754.0,278.0,00901,42.11009174311926,4.250764525993884
ZCTA5 00906,101346.0,91.0,41.2,70076.0,14.0,0.0,00906,15.384615384615385,0.0
ZCTA5 00907,32601.0,16819.0,48.6,38603.0,4426.0,738.0,00907,26.315476544384328,4.387894642963316
ZCTA5 00909,17959.0,5430.0,38.7,15141.0,2598.0,375.0,00909,47.84530386740332,6.906077348066298
ZCTA5 00911,30978.0,7617.0,47.8,28595.0,2230.0,438.0,00911,29.276618091111985,5.75029539188657
ZCTA5 00912,21744.0,5920.0,42.4,15777.0,2455.0,545.0,00912,41.4695945945946,9.20608108108108
ZCTA5 00913,5902.0,8495.0,26.2,7158.0,6933.0,1319.0,00913,81.61271336080047,15.526780459093585
ZCTA5 00915,14048.0,27534.0,38.9,9136.0,16416.0,3708.0,00915,59.620832425365,13.466986271518849
ZCTA5 00917,15508.0,18316.0,45.9,13829.0,9395.0,1128.0,00917,51.29395064424547,6.158549901725268
ZCTA5 00918,23333.0,16595.0,42.3,20852.0,6819.0,702.0,00918,41.09068996685749,4.230189816209702
ZCTA5 00920,25433.0,16698.0,45.0,14906.0,5291.0,506.0,00920,31.68642951251647,3.0303030303030303
ZCTA5 00921,18690.0,35161.0,38.7,12707.0,16019.0,1353.0,00921,45.5590000284406,3.848013423964051
ZCTA5 00923,14041.0,24754.0,39.3,10907.0,14208.0,2018.0,00923,57.39678435808354,8.15221782338208
ZCTA5 00924,19303.0,51699.0,38.2,12558.0,23609.0,4704.0,00924,45.66626046925472,9.098822027505367
ZCTA5 00925,9903.0,6796.0,34.6,10804.0,4145.0,888.0,00925,60.99175985874044,13.066509711595057
ZCTA5 00926,33624.0,99106.0,43.0,22687.0,29413.0,3745.0,00926,29.67832421851351,3.778782313886142
ZCTA5 00927,32932.0,13503.0,45.9,25107.0,3605.0,618.0,00927,26.697770865733542,4.576760719840036
