Zipcode,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Poverty Rate,Unemployment Rate,Lat,Lng
00717,ZCTA5 00717,11269.0,17285.0,36.9,9711.0,10048.0,968.0,58.131327740815735,5.600231414521261,18.0004826,-66.6042494
00718,ZCTA5 00718,18998.0,26073.0,36.9,10107.0,12777.0,893.0,49.00471752387527,3.4249990411536837,18.2342031,-65.7490624
00719,ZCTA5 00719,18401.0,29684.0,39.0,9006.0,13849.0,2403.0,46.654763508961054,8.09527017922113,18.250685,-66.30365859999999
00720,ZCTA5 00720,14533.0,21753.0,37.5,7326.0,12103.0,2117.0,55.63830276283731,9.73199098974854,18.24283,-66.40334229999999
00723,ZCTA5 00723,14554.0,17826.0,43.3,8723.0,10182.0,1004.0,57.11881521373275,5.632222596207787,18.04732,-66.0106684
00725,ZCTA5 00725,20374.0,82822.0,40.4,12575.0,34629.0,5766.0,41.811354471034264,6.9619183308782695,18.294378,-66.0344581
00727,ZCTA5 00727,30797.0,56023.0,38.8,15666.0,17736.0,2931.0,31.658426003605662,5.23177980472306,18.1866013,-66.058249
00728,ZCTA5 00728,18097.0,40326.0,37.7,9181.0,18782.0,1884.0,46.57541040519764,4.671923820859991,18.0859651,-66.65337
00729,ZCTA5 00729,20508.0,52244.0,38.9,11066.0,21939.0,4959.0,41.99333894801317,9.491999081234209,18.3715637,-65.9007249
00730,ZCTA5 00730,15367.0,32735.0,41.3,10834.0,17834.0,1681.0,54.479914464640295,5.135176416679395,18.0576521,-66.6057378
00731,ZCTA5 00731,16389.0,13862.0,39.8,9432.0,7621.0,448.0,54.97763670466022,3.2318568749098255,18.1311468,-66.63952189999999
00735,ZCTA5 00735,18947.0,12749.0,40.7,11580.0,5579.0,472.0,43.76029492509216,3.7022511569534866,18.2435807,-65.6539717
00736,ZCTA5 00736,20166.0,48476.0,41.3,12391.0,21635.0,2165.0,44.630332535687764,4.466127568281212,18.1121798,-66.1662266
00738,ZCTA5 00738,19284.0,31558.0,40.7,11081.0,13443.0,3663.0,42.597756511819505,11.607199442296723,18.33213,-65.6539717
00739,ZCTA5 00739,20619.0,37380.0,38.5,11107.0,15775.0,2234.0,42.20171214553237,5.976457998929909,18.1991076,-66.1534242
00740,ZCTA5 00740,12934.0,1517.0,36.5,7125.0,928.0,356.0,61.17336849044166,23.467369808833222,18.3331276,-65.6320768
00741,ZCTA5 00741,22766.0,5168.0,41.0,9385.0,2178.0,446.0,42.143962848297214,8.630030959752322,18.1756906,-65.76689429999999
00745,ZCTA5 00745,22909.0,52624.0,40.1,10927.0,19531.0,5119.0,37.114244451200975,9.727500760109455,18.3450502,-65.8322841
00751,ZCTA5 00751,16188.0,22174.0,39.5,8951.0,11879.0,583.0,53.57175069901687,2.6292053756651934,18.000619,-66.2537174
00754,ZCTA5 00754,18594.0,38636.0,40.1,10482.0,17606.0,1493.0,45.56889947199503,3.8642716637333057,18.1895236,-65.9609256
00757,ZCTA5 00757,16816.0,22475.0,37.2,10478.0,11045.0,788.0,49.143492769744164,3.506117908787542,17.988847,-66.415246
00765,ZCTA5 00765,16149.0,8721.0,41.3,11211.0,3226.0,421.0,36.99117073730077,4.827428047242289,18.1262854,-65.44009849999999
00766,ZCTA5 00766,19595.0,23931.0,37.8,10406.0,11955.0,2293.0,49.95612385608625,9.581714094688897,18.1259182,-66.49341869999999
00767,ZCTA5 00767,15573.0,35042.0,41.6,8668.0,18314.0,2685.0,52.26299868728954,7.662233890759659,18.0538398,-65.8917378
00769,ZCTA5 00769,19215.0,39605.0,39.4,10328.0,19083.0,1027.0,48.18331018810756,2.5931069309430628,18.1033386,-66.3557299
00771,ZCTA5 00771,20332.0,37705.0,38.0,10254.0,17258.0,2697.0,45.77111788887415,7.152897493701101,18.1836055,-65.8679554
00772,ZCTA5 00772,15032.0,20784.0,37.2,7516.0,12014.0,2386.0,57.804080061585836,11.479984603541185,18.4313709,-65.8801054
00773,ZCTA5 00773,19377.0,18952.0,39.8,10434.0,8649.0,2121.0,45.636344449134654,11.191430983537357,18.3639025,-65.7252877
00775,ZCTA5 00775,23092.0,1480.0,39.1,11291.0,615.0,11.0,41.554054054054056,0.7432432432432432,18.311615,-65.2942869
00777,ZCTA5 00777,18684.0,40611.0,37.7,9220.0,20541.0,4246.0,50.57989214744774,10.455295363325208,18.2266444,-65.9214923
